
time,open,high,low,close,M15 Line,M25 Line,standardized candle (开盘价),standardized candle (最高价,standardized candle (最低价),standardized candle (关闭),Volume,Histogram,MACD,Signal,K,D
2026-02-12T09:00:00+08:00,5063.02,5064.315,5045.445,5063.65,5077.646666666659,5068.06419999999,5045.445,5064.315,5045.445,,43849,-3.059960689997446,6.217242771914243,9.27720346191169,1.9988071413024866,11.488437505281118
2026-02-12T10:00:00+08:00,5063.56,5073.25,5055.055,5066.1,5075.836999999994,5069.19879999999,5055.055,5073.25,5055.055,,27634,-3.1735482678498848,5.310268127099334,8.48381639494922,6.967227222470899,6.569780271671971
2026-02-12T11:00:00+08:00,5066.01,5074.875,5054.82,5056.995,5072.191999999995,5069.37459999999,5055.055,5074.875,5055.055,,24550,-3.7367852805643142,3.8128347942438268,7.549620074808141,6.11637965265414,5.027471338809176
2026-02-12T12:00:00+08:00,5056.98,5070.36,5050.985,5069.61,5071.264333333327,5069.923399999991,5050.985,5070.36,5050.985,,14467,-3.1576914853341194,3.602505718140492,6.760197203474611,17.63552440474848,10.239710426624507
2026-02-12T13:00:00+08:00,5069.615,5078.42,5064.46,5075.815,5071.933999999994,5070.776399999991,5064.46,5078.42,5064.46,,24060,-2.294838131403327,3.8916495392204524,6.186487670623779,31.10298056800905,18.28496154180389
2026-02-12T14:00:00+08:00,5075.69,5076.475,5047.13,5060.01,5071.971666666661,5071.3131999999905,5047.13,5076.475,5047.13,,32666,-2.6987583623534785,2.8130397176819315,5.51179808003541,33.741370758517675,27.493291910425068
2026-02-12T15:00:00+08:00,5060.005,5066.49,5052,5064.085,5072.2393333333275,5071.75059999999,5047.13,5066.49,5047.13,,17949,-2.600647395965181,2.2609888350789333,4.861636231044114,27.78433718061329,30.876229502380003
2026-02-12T16:00:00+08:00,5064.075,5073.6,5052.43,5068.625,5071.79966666666,5071.92679999999,5052.43,5073.6,5052.43,,18387,-2.1574135248775503,2.164869324947176,4.3222828498247265,22.60238937575946,28.042699104963475
2026-02-12T17:00:00+08:00,5068.605,5080.91,5066.25,5073.265,5070.581999999994,5072.63719999999,5066.25,5080.91,5066.25,,18749,-1.5097994069925869,2.435033591083993,3.94483299807658,38.68330419297015,29.690010249780965
2026-02-12T18:00:00+08:00,5073.27,5077.09,5056.29,5062.48,5069.237999999994,5072.984399999989,5056.29,5077.09,5056.29,,16924,-1.7489790382472412,1.7586092002675286,3.50758823851477,37.00711175234067,32.76426844035676
2026-02-12T19:00:00+08:00,5062.49,5068.48,5059.53,5064.19,5068.0513333333265,5073.03499999999,5056.29,5068.48,5056.29,,6888,-1.730057633505441,1.3450161966329688,3.0750738301384097,31.792037926376313,35.82748462389571
2026-02-12T20:00:00+08:00,5064.25,5068.665,5048.935,5052.85,5065.77566666666,5071.41919999999,5048.935,5068.48,5048.935,,16522,-2.379232752470752,0.1010328895499697,2.4802656420207216,13.072732918657005,27.290627532457993
2026-02-12T21:00:00+08:00,5052.835,5083.855,5051.485,5075.455,5065.187333333327,5069.97059999999,5051.485,5083.855,5051.485,,32010,-1.241413645864733,0.9284985846898053,2.169912230554538,40.54190425892816,28.46889170132049
2026-02-12T22:00:00+08:00,5075.475,5077.905,5039.7,5044.625,5064.058999999994,5068.41459999999,5039.7,5077.905,5039.7,,57744,-2.450454969513573,-0.893156481337428,1.557298488176145,32.50304964531737,28.705895607634176
2026-02-12T23:00:00+08:00,5044.63,5074.87,5039.815,5060.57,5063.888333333328,5068.2065999999895,5039.7,5074.87,5039.7,,46487,-2.0764266929484854,-1.0382348780094617,1.0381918149390237,49.65140644003707,40.89878678142754
2026-02-13T00:00:00+08:00,5060.585,5068.36,4878.5,4954.74,5056.627666666662,5064.01839999999,4878.5,5068.36,4878.5,,158751,-8.49643165537951,-9.582347754285365,-1.0859160989058543,17.148356794719707,33.10093762669138
2026-02-13T01:00:00+08:00,4955.03,4983.245,4939.89,4941.145,5048.2973333333275,5059.261399999989,4878.5,4983.245,4878.5,,112151,-12.932670452415085,-17.25175416442471,-4.3190837120096255,17.148356794719707,27.98270667649216
2026-02-13T02:00:00+08:00,4941.14,4952.285,4906.765,4935.625,5040.205999999995,5053.67759999999,4878.5,4952.285,4878.5,,90556,-15.348164273340435,-23.50428905368517,-8.156124780344735,4.736951571734001e-15,11.432237863146474
2026-02-13T03:00:00+08:00,4935.64,4958.155,4927.775,4945.665,5031.942999999995,5047.84299999999,4927.775,4958.155,4927.775,,82517,-15.342485694072813,-27.33423189793575,-11.991746203862938,3.8665471463927865,7.004967980370831
2026-02-13T04:00:00+08:00,4945.715,4948.68,4911.215,4915.12,5021.229999999994,5041.14219999999,4911.215,4948.68,4911.215,,88700,-16.374632098453723,-32.460036326930094,-16.08540422847637,3.866547146392788,2.5776980975951918
2026-02-13T05:00:00+08:00,4915.19,4927.34,4911.825,4922.08,5012.034666666661,5034.745799999991,4911.215,4927.34,4911.215,,14087,-15.572357696235116,-35.550851348770266,-19.97849365253515,6.476836833739455,4.736643708841677
2026-02-13T07:00:00+08:00,4888.315,4928.76,4888.315,4920.465,5002.459999999994,5028.08499999999,4888.315,4927.34,4888.315,,27561,-14.17410433501907,-37.69612407130899,-23.522019736289916,4.975820895200859,5.106401625111034
2026-02-13T08:00:00+08:00,4920.47,4949,4913.86,4928.175,4993.096666666661,5021.84079999999,4913.86,4949,4913.86,,43148,-11.848196294027495,-38.332265103824284,-26.48406880979679,10.461440709062785,7.304699479334366
2026-02-13T09:00:00+08:00,4928.22,4988.825,4927.4,4980.865,4986.936666666661,5018.61339999999,4927.4,4988.825,4927.4,,57589,-6.165257259783353,-34.19064038452598,-28.025383124742625,30.75988607527366,15.399049226512433
2026-02-13T10:00:00+08:00,4980.78,4991.805,4972.315,4988.64,4982.013999999995,5015.6337999999905,4972.315,4991.805,4972.315,,35740,-1.5284237922250732,-29.935912865023965,-28.407489072798892,53.41258574696144,31.544637510432626
2026-02-13T11:00:00+08:00,4988.59,4989.435,4973.97,4981.51,4976.501999999994,5012.34819999999,4973.97,4991.805,4973.97,,21933,1.2619418079819624,-26.83006181282144,-28.092003620803403,71.21178441280368,51.79475207834626
